"SCCS ID","SOCIETY NAME","OWC","EA-SUB-PER","EA-GA","EA-HU","EA-FI","EA-AH","EA-AG","subsistence_domain","CAL1","CAL1A_scale_of_sub","CAL1B_frequency","CAL1C_gender","practiced","cooperation_present","EA_dependence"
30,"Nuba","FJ21","0,2,0,2,6",0,2,0,2,6,"AG",1,2,1,3,1,1,6
12,"Ganda","FK07","0,1,1,1,7",0,1,1,1,7,"GA",NA,NA,NA,NA,NA,NA,0
12,"Ganda","FK07","0,1,1,1,7",0,1,1,1,7,"HU",2,1,NA,5,1,1,1
12,"Ganda","FK07","0,1,1,1,7",0,1,1,1,7,"FI",NA,NA,NA,NA,NA,NA,1
12,"Ganda","FK07","0,1,1,1,7",0,1,1,1,7,"AH",NA,NA,NA,NA,NA,NA,1
12,"Ganda","FK07","0,1,1,1,7",0,1,1,1,7,"AG",0,0,0,NA,1,0,7
9,"Hadza","FN11","5,5,0,0,0",5,5,0,0,0,"GA",1,3,4,1,1,1,5
9,"Hadza","FN11","5,5,0,0,0",5,5,0,0,0,"HU",0,0,0,NA,1,0,5
9,"Hadza","FN11","5,5,0,0,0",5,5,0,0,0,"FI",0,0,0,NA,1,0,0
9,"Hadza","FN11","5,5,0,0,0",5,5,0,0,0,"AH",NA,NA,NA,NA,NA,NA,0
9,"Hadza","FN11","5,5,0,0,0",5,5,0,0,0,"AG",NA,NA,NA,NA,NA,NA,0
8,"Nyakyusa and Ngonde","FN17","0,1,1,2,6",0,1,1,2,6,"GA",NA,NA,NA,NA,0,NA,0
8,"Nyakyusa and Ngonde","FN17","0,1,1,2,6",0,1,1,2,6,"HU",0,0,0,NA,1,0,1
8,"Nyakyusa and Ngonde","FN17","0,1,1,2,6",0,1,1,2,6,"FI",0,0,0,NA,1,0,1
8,"Nyakyusa and Ngonde","FN17","0,1,1,2,6",0,1,1,2,6,"AH",2,2,4,5,1,1,2
8,"Nyakyusa and Ngonde","FN17","0,1,1,2,6",0,1,1,2,6,"AG",1,NA,NA,NA,1,1,6
13,"Mbuti","FO04","6,3,1,0,0",6,3,1,0,0,"GA",1,1.5,1,NA,1,1,6
13,"Mbuti","FO04","6,3,1,0,0",6,3,1,0,0,"HU",2,2,4,3,1,1,3
13,"Mbuti","FO04","6,3,1,0,0",6,3,1,0,0,"FI",NA,NA,NA,NA,NA,NA,1
13,"Mbuti","FO04","6,3,1,0,0",6,3,1,0,0,"AH",NA,NA,NA,NA,NA,NA,0
13,"Mbuti","FO04","6,3,1,0,0",6,3,1,0,0,"AG",NA,NA,NA,NA,NA,NA,0
28,"Azande","FO07","1,2,1,0,6",1,2,1,0,6,"GA",NA,NA,NA,NA,NA,NA,1
28,"Azande","FO07","1,2,1,0,6",1,2,1,0,6,"HU",NA,NA,NA,NA,NA,NA,2
28,"Azande","FO07","1,2,1,0,6",1,2,1,0,6,"FI",2,2,NA,3,1,1,1
28,"Azande","FO07","1,2,1,0,6",1,2,1,0,6,"AH",NA,NA,NA,NA,0,NA,0
28,"Azande","FO07","1,2,1,0,6",1,2,1,0,6,"AG",1,2,2,3,1,1,6
5,"Ovimbundu","FP13","1,1,1,2,5",1,1,1,2,5,"GA",NA,NA,NA,NA,NA,NA,1
5,"Ovimbundu","FP13","1,1,1,2,5",1,1,1,2,5,"HU",1,2.75,1,4,1,1,1
5,"Ovimbundu","FP13","1,1,1,2,5",1,1,1,2,5,"FI",2,3,NA,3,1,1,1
5,"Ovimbundu","FP13","1,1,1,2,5",1,1,1,2,5,"AH",0,0,0,NA,1,0,2
5,"Ovimbundu","FP13","1,1,1,2,5",1,1,1,2,5,"AG",1,NA,NA,NA,1,1,5
7,"Bemba","FQ05","1,1,1,0,7",1,1,1,0,7,"GA",2,1,3,1,1,1,1
7,"Bemba","FQ05","1,1,1,0,7",1,1,1,0,7,"HU",1,1,1,5,1,1,1
7,"Bemba","FQ05","1,1,1,0,7",1,1,1,0,7,"FI",1,3,2,NA,1,1,1
7,"Bemba","FQ05","1,1,1,0,7",1,1,1,0,7,"AH",NA,NA,NA,NA,0,NA,0
7,"Bemba","FQ05","1,1,1,0,7",1,1,1,0,7,"AG",1,2,2,3,1,1,7
4,"Lozi","FQ09","1,2,1,2,4",1,2,1,2,4,"GA",NA,NA,NA,NA,NA,NA,1
4,"Lozi","FQ09","1,2,1,2,4",1,2,1,2,4,"HU",1,2,1,5,1,1,2
4,"Lozi","FQ09","1,2,1,2,4",1,2,1,2,4,"FI",1,2,1,3,1,1,1
4,"Lozi","FQ09","1,2,1,2,4",1,2,1,2,4,"AH",1,1,1,NA,1,1,2
4,"Lozi","FQ09","1,2,1,2,4",1,2,1,2,4,"AG",1,2,1,3,1,1,4
2,"San","FX10","8,2,0,0,0",8,2,0,0,0,"GA",1,2,3,2,1,1,8
2,"San","FX10","8,2,0,0,0",8,2,0,0,0,"HU",2,2,1,NA,1,1,2
2,"San","FX10","8,2,0,0,0",8,2,0,0,0,"FI",NA,NA,NA,NA,0,NA,0
2,"San","FX10","8,2,0,0,0",8,2,0,0,0,"AH",0,0,0,NA,1,0,0
2,"San","FX10","8,2,0,0,0",8,2,0,0,0,"AG",0,0,0,NA,1,0,0
1,"Khoi","FX13","1,3,1,5,0",1,3,1,5,0,"GA",2,3,4,1,1,1,1
